sexe	naissance	origine_geo	residence	conjugal1	conjugal2	familial1	familial2	nb_enfants	situation_pro1	situation_pro2	situation_pro_autre	profession	diplome	pro_poker	exp_poker	is_jeu_avant	what_jeu_avant1	what_jeu_avant2	what_jeu_avant3	what_jeu_avant4	what_jeu_avant5	what_jeu_avant6	what_jeu_avant7	what_jeu_avant8	what_jeu_avant9	what_jeu_avant10	what_jeu_avant11	what_jeu_avant12	what_jeu_avant13	what_jeu_avant_autre	how_decouvert	how_decouvert_2	how_decouvert_3	how_decouvert_4	how_decouvert_5	how_decouvert_6	how_decouvert_7	how_decouvert_autre	1partie_1	1partie_2	1partie_3	1somme	depuis1	depuis2	depuis3	depuis4	depuis5	depuis6	depuis7	depuis_autre	progres_max1	progres_max2	progres_max3	progres_max4	progres_max5	progres_max6	progres_max7	progres_max8	progres_max9	progres_max_autre	variante1	variante2	variante3	variante4	variante5	var_tour1	var_tour2	var_tour3	var_arg1	var_arg2	var_arg3	variante_autre	variante_max1	variante_max2	variante_max3	variante_max4	variante_max5	var_tour_max1	var_tour_max2	var_tour_max3	var_arg_max1	var_arg_max2	var_tour_max3	internet_par_semaine	internet_jour	internet_heure	internet_heure2	sites	somme_compte	retire_compte	somme_internet	somme_live	calcul	bluff	chance	lecture	argent	autre_dimension	is_jeu_apres	what_jeu_apres1	what_jeu_apres2	what_jeu_apres3	what_jeu_apres4	what_jeu_apres5	what_jeu_apres6	what_jeu_apres7	what_jeu_apres8	what_jeu_apres9	what_jeu_apres10	what_jeu_apres11	what_jeu_apres_autre	is_autre_jeusport	what_autre_jeusport	is_sport	is_FPT_1	code_sexe	code_age_1	code_age_2	code_age_3	code_diplome	code_profession	code_profession_2	code_emploi	code_agglo_1	code_agglo_2		code_conj	code_enfants	code_pro	code_anciennete_1	code_anciennete_2	code_nbsite	code_1exp_1	code_1exp_2		code_expmaj	code_expmaj2				code_somme_p1_v1	code_somme_p1_v2	code_somme_pni_v1	code_somme_pni_v2	code_somme_pnl_v1	code_somme_pnl_v2																																																																																		code_nbj_l_v1	code_nbj_l_v2		code_reg_v1	code_reg_v2																																	
Féminin	1985	Paris	Paris	Célibataire	0		Domicile parental	0	Temps partiel	Etudiant, stagiaire, apprenti		Doctorante en science de l'éducation ; Animatrice	Master 2	Amateur	1 an	Oui	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	Blackjack	Machines à sous	0	0	0	0	0	0	0	0	0		Amis	0	0	0	0	0	0		Entre amis	0	0	Moins de 5E	Entre amis	Entre collègues de travail	Sur Internet	0	0	0	0		En jouant en live	En discutant avec des joueurs	0	0	0	0	0	0	0	En regardant les autres ; Avec l'habitude	Texas hold'em	Stud	0	0	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel		Texas hold'em	0	0	0	0	Tournoi	0	0	Argent réel	0	0	2 fois	En semaine et le week-end	Plutôt le soir	Plutôt la nuit	Pokerstars ; Winamax	10	Oui	Moins de 5E	Entre 10 et 20E	1	5	2	4	3	Forme physique et/ou mentale ; Patience ; Imprévisibilité	Oui	Jeux de grattage (Banco, Astro, etc.)	0	0	0	0	0	0	0	0	0	0		Oui	Volley-ball ; Beach-volley ; Lecture ; Tourisme 	Oui	Non	Féminin	25 à 34 ans	25 à 34 ans	25 à 34 ans	BAC+4 et plus	Etudiants, apprentis, stagiaires, sans emploi	Etudiants, apprentis, stagiaires, sans emploi	Temps partiel	Paris	Paris	Domicile parental	Célibataire	Sans enfant	Amateur	1 ans	1 ans	0	Amis	0	0	Entre amis	0	0	Initiation en live	0	Moins de 5E	Moins de 5E	Moins de 5E	Moins de 5E	Entre 10 et 20E	Entre 10 et 20E	Entre amis	Entre collègues de travail	Sur Internet	0	0	0	0	Entre amis	Entre collègues de travail	0	0	0	0	Parties privées	Internet	0	0	0	0	0	Oui	Oui	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	Blackjack	Machines à sous	0	0	0	0	0	0	0	0	0	Jeux de grattage (Banco, Astro, etc.)	0	0	0	0	0	0	0	0	0	0	0	0	En jouant en live	En discutant avec des joueurs	0	0	0	0	0	0	0	Texas hold'em	Stud	0	0	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel	Non	Expérience d'un tournoi live	Texas hold'em	0	0	0	0	Tournoi	0	0	Argent réel	0	0	2 fois	2 fois	Moins d'un jour sur deux	Pratique on-line régulière	Pratique online régulière	En semaine et le week-end	Plutôt le soir	Plutôt la nuit	10 à 99E	10 à 99E	Oui	1	1	5	5	2	2	4	4	3	3	Les conditions physiques et mentales	La patience, la maîtrise de soi, le sérieux	Le feeling, l'intuition, l'imprévisibilité	Oui	Sports de balle (football, rugby, basketball, handball, volleyball, etc.)	Activités artistiques (musique, photographie, sculture, danse, écriture, lecture, etc.)	Non classés	Sports de balle (football, rugby, basketball, handball, volleyball, etc.)	Activités artistiques (musique, photographie, sculture, danse, écriture, lecture, etc.)	0	Oui	Moins de 10E	Entre 10 et 20E	Entre 0 et 1 ans	18 à 34 ans	Moins d'un jour sur deux	Entre 0 et 1 ans
Masculin	1975	Port de Bouc	Istres	Marié(e), Pacsé(e)	0		Domicile conjugal	2	Temps complet	0		Docker	BTS	Amateur	3 ans	Oui	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	Rapido	0	0	0	0	0	0	0	0	0	0		Internet	0	0	0	0	0	0		Entre amis	0	0	Entre 10 et 20E	Entre amis	En famille	Entre collègues de travail	Sur Internet	Dans un casino	0	0		En jouant en live	En jouant sur Internet	En regardant des vidéos sur Internet	0	0	0	0	0	0		Texas hold'em	0	0	0	0	0	0	0	0	0	0		Texas hold'em	0	0	0	0	0	0	0	0	0	0	3 fois	0	0	0	Winamax ; Pokerstars	0	Oui	Entre 10 et 20E	Plus de 50E	1	0	0	0	0		Non	0	0	0	0	0	0	0	0	0	0	0		Oui	Tennis 	Oui	Non	Masculin	35 à 44 ans	35 à 44 ans	35 à 44 ans	BAC+2 ou +3	Ouvriers	Ouvriers	Temps complet	20 000 habitants	20 000 habitants	Domicile conjugal	Marié(e), Pacsé(e)	2 enfants	Amateur	3 ans	3 ans	1 site	Internet	0	0	Entre amis	0	0	Initiation en live	0	Entre 10 et 20E	Entre 10 et 20E	Entre 10 et 20E	Entre 10 et 20E	Plus de 50E	Plus de 50E	Entre amis	En famille	Entre collègues de travail	Sur Internet	Dans un casino	0	0	Entre amis	En famille	Entre collègues de travail	Dans un casino	0	0	Parties privées	Internet	Casinos	0	0	0	0	Oui	Non	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	Rapido	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	En jouant en live	En jouant sur Internet	En regardant des vidéos sur Internet	0	0	0	0	0	0	Texas hold'em	0	0	0	0	0	0	0	0	0	0	Non	Expérience d'un tournoi live	Texas hold'em	0	0	0	0	0	0	0	0	0	0	3 fois	3 fois	Moins d'un jour sur deux	Pratique on-line régulière	Pratique online régulière	0	0	0	Moins de 10E	Moins de 10E	Oui	1	1	Non réponse	0	Non réponse	0	Non réponse	0	Non réponse	0	0	0	0	Oui	Sports de raquette (tennis, badmington, tennis de table, squash, golf, etc.)	0	0	Sports de raquette (tennis, badmington, tennis de table, squash, golf, etc.)	0	0	Oui	Entre 10 et 20E	Plus de 50E	Entre 2 et 3 ans	35 à 44 ans	Moins d'un jour sur deux	Entre 2 et 3 ans
Masculin	1976	Avignon	Avignon	En concubinage	0		0	1	Chômeur, sans emploi	0		Educateur sportif	BE	Amateur	plus de 6 ans	Oui	Machines à sous	0	0	0	0	0	0	0	0	0	0	0	0		Amis	0	0	0	0	0	0		Entre amis	0	0	Entre 5 et 10E	Entre amis	En famille	Entre collègues de travail	Sur Internet	0	0	0		En jouant en live	En regardant des émissions TV	En regardant des vidéos sur Internet	0	0	0	0	0	0		Texas hold'em	Omaha	Stud	Poker fermé	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel		Texas hold'em	0	0	0	0	Sit & go	Tournoi	Cash game	Freeroll	Argent réel	0	Tous les jours	En semaine et le week-end	Plutôt le soir	0	Winamaw ; Full Tilt	30	Oui	Entre 5 et 10E	Entre 20 et 50E	2	4	5	1	3		Non	0	0	0	0	0	0	0	0	0	0	0		Oui	Acrobatie 	Oui	Non	Masculin	35 à 44 ans	35 à 44 ans	35 à 44 ans	BAC	Professions intermédiaires	Professions intermédiaires	Chômeur, sans emploi	20 000 habitants	20 000 habitants	0	En concubinage	1 enfant	Amateur	6 ans et plus	6 ans et plus	3 sites	Amis	0	0	Entre amis	0	0	Initiation en live	0	Entre 5 et 10E	Entre 5 et 10E	Entre 5 et 10E	Entre 5 et 10E	Entre 20 et 50E	Entre 20 et 50E	Entre amis	En famille	Entre collègues de travail	Sur Internet	0	0	0	Entre amis	En famille	Entre collègues de travail	0	0	0	Parties privées	Internet	0	0	0	0	0	Oui	Non	Machines à sous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	En jouant en live	En regardant des émissions TV	En regardant des vidéos sur Internet	0	0	0	0	0	0	Texas hold'em	Omaha	Stud	Poker fermé	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel	Non	Expérience d'un tournoi live	Texas hold'em	0	0	0	0	Sit & go	Tournoi	Cash game	Freeroll	Argent réel	0	Tous les jours	Tous les jours	Tous les jours	Pratique on-line quotidienne	Pratique online quotidienne	En semaine et le week-end	Plutôt le soir	0	10 à 99E	10 à 99E	Oui	2	2	4	4	5	5	1	1	3	3	0	0	0	Oui	Non classés	0	0	0	0	0	Oui	Moins de 10E	Entre 20 et 50E	6 ans et plus	35 à 44 ans	Plus d'un jour sur deux	6 ans et plus
Masculin	1981	Vienne	Var	En concubinage	0		0	0	Temps complet	0		Marin	Baccalauréat	Amateur	6 ans	Non	0	0	0	0	0	0	0	0	0	0	0	0	0		Amis	0	0	0	0	0	0		Entre amis	0	0	Moins de 5E	Entre amis	Sur Internet	Dans un casino	0	0	0	0		En jouant en live	En jouant sur Internet	En regardant des émissions TV	En lisant des magazines	En lisant des ouvrages spécialisés	En discutant avec des joueurs	0	0	0		Texas hold'em	Omaha	Poker fermé	0	0	0	0	0	0	0	0		Texas hold'em	0	0	0	0	Sit & go	Tournoi	0	0	0	0	Tous les jours	En semaine et le week-end	Plutôt le soir	0	Winamax ; Pokerstars	20	Oui	Moins de 5E	Entre 10 et 20E	1	2	3	2	2	Humilité	Non	0	0	0	0	0	0	0	0	0	0	0		Oui	Natation 	Oui	Non	Masculin	25 à 34 ans	25 à 34 ans	25 à 34 ans	BAC	Ouvriers	Ouvriers	Temps complet	Non classé	0	0	En concubinage	Sans enfant	Amateur	6 ans et plus	6 ans et plus	3 sites	Amis	0	0	Entre amis	0	0	Initiation en live	0	Moins de 5E	Moins de 5E	Moins de 5E	Moins de 5E	Entre 10 et 20E	Entre 10 et 20E	Entre amis	Sur Internet	Dans un casino	0	0	0	0	Entre amis	Dans un casino	0	0	0	0	Parties privées	Internet	Casinos	0	0	0	0	Non	Non	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	En jouant en live	En jouant sur Internet	En regardant des émissions TV	En lisant des magazines	En lisant des ouvrages spécialisés	En discutant avec des joueurs	0	0	0	Texas hold'em	Omaha	Poker fermé	0	0	0	0	0	0	0	0	Non	Expérience d'un tournoi live	Texas hold'em	0	0	0	0	Sit & go	Tournoi	0	0	0	0	Tous les jours	Tous les jours	Tous les jours	Pratique on-line quotidienne	Pratique online quotidienne	En semaine et le week-end	Plutôt le soir	0	10 à 99E	10 à 99E	Oui	1	1	2	2	3	3	2	2	2	2	La patience, la maîtrise de soi, le sérieux	0	0	Oui	Sports d'eau (natation, voile, surf, kitesurf, canyoning, kayaking, plongée, etc.)	0	0	Sports d'eau (natation, voile, surf, kitesurf, canyoning, kayaking, plongée, etc.)	0	0	Oui	Moins de 10E	Entre 10 et 20E	6 ans et plus	18 à 34 ans	Plus d'un jour sur deux	6 ans et plus
Masculin	1974	Tarbes	Var	Marié(e), Pacsé(e)	0		Domicile conjugal	1	0	0	Profession libérale	Kinésithérapeute	Bac+3	Amateur	3 ans	Oui	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	Roulette	Machines à sous	0	0	0	0	0	0	0	0	0		Internet	0	0	0	0	0	0		Entre amis	0	0	Aucune	Entre amis	Sur Internet	Dans une association	0	0	0	0		En jouant sur Internet	En regardant des vidéos sur Internet	En lisant des ouvrages spécialisés	En participant à des forums	En discutant avec des joueurs	0	0	0	0		Texas hold'em	Omaha	Stud	0	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel		Texas hold'em	0	0	0	0	Sit & go	Tournoi	Cash game	Argent réel	0	0	Tous les jours	En semaine et le week-end	Plutôt le soir	0	Winamax ; Everest	0	Non	Moins de 5E	Entre 20 et 50E	2	3	5	1	4		Oui	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	0	0	0	0	0	0	0	0	0		Oui	 	0	Non	Masculin	35 à 44 ans	35 à 44 ans	35 à 44 ans	BAC+2 ou +3	Professions intermédiaires	Professions intermédiaires	0	Non classé	0	Domicile conjugal	Marié(e), Pacsé(e)	1 enfant	Amateur	3 ans	3 ans	1 site	Internet	0	0	Entre amis	0	0	Initiation en live	0	Aucune	Aucune	Moins de 5E	Moins de 5E	Entre 20 et 50E	Entre 20 et 50E	Entre amis	Sur Internet	Dans une association	0	0	0	0	Entre amis	Dans une association	0	0	0	0	Parties privées	Internet	Clubs	0	0	0	0	Oui	Oui	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	Roulette	Machines à sous	0	0	0	0	0	0	0	0	0	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	0	0	0	0	0	0	0	0	0	0	0	En jouant sur Internet	En regardant des vidéos sur Internet	En lisant des ouvrages spécialisés	En participant à des forums	En discutant avec des joueurs	0	0	0	0	Texas hold'em	Omaha	Stud	0	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel	Non	Expérience d'un tournoi live	Texas hold'em	0	0	0	0	Sit & go	Tournoi	Cash game	Argent réel	0	0	Tous les jours	Tous les jours	Tous les jours	Pratique on-line quotidienne	Pratique online quotidienne	En semaine et le week-end	Plutôt le soir	0	Non réponse	0	Non	2	2	3	3	5	5	1	1	4	4	0	0	0	Oui	0	0	0	0	0	0	0	Moins de 10E	Entre 20 et 50E	Entre 2 et 3 ans	35 à 44 ans	Plus d'un jour sur deux	Entre 2 et 3 ans
Masculin	1988	Avignon	Istres	Célibataire	0		0	0	Temps complet	0		Militaire	Baccalauréat	Amateur	2 ans	Oui	Blackjack	0	0	0	0	0	0	0	0	0	0	0	0		Amis	0	0	0	0	0	0		Entre amis	0	0	Moins de 5E	Entre amis	Sur Internet	0	0	0	0	0		En jouant sur Internet	En regardant des vidéos sur Internet	En discutant avec des joueurs	0	0	0	0	0	0		Texas hold'em	Omaha	0	0	0	Sit & go	Tournoi	Cash game	Freeroll	Argent réel	0		Texas hold'em	0	0	0	0	Sit & go	Tournoi	0	Argent réel	0	0	4 fois	0	Plutôt le soir	0	Winamax	40	Non	Entre 5 et 10E	Entre 5 et 10E	2	3	5	1	4		Non	0	0	0	0	0	0	0	0	0	0	0		Oui	 	Oui	Oui	Masculin	18 à 24 ans	18 à 24 ans	18 à 24 ans	BAC	Employés	Employés	Temps complet	20 000 habitants	20 000 habitants	0	Célibataire	Sans enfant	Amateur	2 ans	2 ans	3 sites	Amis	0	0	Entre amis	0	0	Initiation en live	0	Moins de 5E	Moins de 5E	Entre 5 et 10E	Entre 5 et 10E	Entre 5 et 10E	Entre 5 et 10E	Entre amis	Sur Internet	0	0	0	0	0	Entre amis	0	0	0	0	0	Parties privées	Internet	0	0	0	0	0	Oui	Non	Blackjack	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	En jouant sur Internet	En regardant des vidéos sur Internet	En discutant avec des joueurs	0	0	0	0	0	0	Texas hold'em	Omaha	0	0	0	Sit & go	Tournoi	Cash game	Freeroll	Argent réel	0	Oui	Premier tournoi live	Texas hold'em	0	0	0	0	Sit & go	Tournoi	0	Argent réel	0	0	4 fois	4 fois	Plus d'un jour sur deux	Pratique on-line très régulière	Pratique online régulière	0	Plutôt le soir	0	10 à 99E	10 à 99E	Non	2	2	3	3	5	5	1	1	4	4	0	0	0	Oui	0	0	0	0	0	0	Oui	Moins de 10E	Moins de 10E	Entre 2 et 3 ans	18 à 34 ans	Plus d'un jour sur deux	Entre 2 et 3 ans
Masculin	1976	Pertuis	Lauris	Célibataire	0		0	0	Temps complet	0		Agent du service hospitalier	BEP	Amateur	4 ans	Oui	Paris hippiques	Machines à sous	0	0	0	0	0	0	0	0	0	0	0		Amis	0	0	0	0	0	0		Entre amis	0	0	Entre 5 et 10E	Entre amis	Sur Internet	0	0	0	0	0		En jouant sur Internet	0	0	0	0	0	0	0	0		Texas hold'em	0	0	0	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel		Texas hold'em	0	0	0	0	Tournoi	0	0	Argent réel	0	0	Tous les jours	En semaine et le week-end	Plutôt le soir	0	Winamax ; Everest	0	Oui	Entre 10 et 20E	Entre 5 et 10E	1	4	3	2	5		Oui	Paris hippiques	Machines à sous	0	0	0	0	0	0	0	0	0		0	 	0	Oui	Masculin	35 à 44 ans	35 à 44 ans	35 à 44 ans	BEP, CAP	Professions intermédiaires	Professions intermédiaires	Temps complet	2 000 habitants	2 000 habitants	0	Célibataire	Sans enfant	Amateur	4 ans	4 ans	2 sites	Amis	0	0	Entre amis	0	0	Initiation en live	0	Entre 5 et 10E	Entre 5 et 10E	Entre 10 et 20E	Entre 10 et 20E	Entre 5 et 10E	Entre 5 et 10E	Entre amis	Sur Internet	0	0	0	0	0	Entre amis	0	0	0	0	0	Parties privées	Internet	0	0	0	0	0	Oui	Oui	Paris hippiques	Machines à sous	0	0	0	0	0	0	0	0	0	0	0	Paris hippiques	Machines à sous	0	0	0	0	0	0	0	0	0	0	0	En jouant sur Internet	0	0	0	0	0	0	0	0	Texas hold'em	0	0	0	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel	Oui	Premier tournoi live	Texas hold'em	0	0	0	0	Tournoi	0	0	Argent réel	0	0	Tous les jours	Tous les jours	Tous les jours	Pratique on-line quotidienne	Pratique online quotidienne	En semaine et le week-end	Plutôt le soir	0	Moins de 10E	Moins de 10E	Oui	1	1	4	4	3	3	2	2	5	5	0	0	0	0	0	0	0	0	0	0	0	Entre 10 et 20E	Moins de 10E	Entre 4 et 5 ans	35 à 44 ans	Plus d'un jour sur deux	Entre 4 et 5 ans
Masculin	0	Aix en Provence	Aix en Provence	En concubinage	0		Domicile conjugal	2	Temps complet	0		Responsable d'étude	BTS	Amateur	6 mois	Oui	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	Machines à sous	0	0	0	0	0	0	0	0	0	0		Emission TV	0	0	0	0	0	0		Entre amis	0	0	Moins de 5E	Sur Internet	0	0	0	0	0	0		En jouant sur Internet	0	0	0	0	0	0	0	0		Texas hold'em	0	0	0	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel		Texas hold'em	0	0	0	0	Tournoi	0	0	Argent réel	0	0	3 fois	En semaine et le week-end	Plutôt le soir	0	Winamax	10	Non	Moins de 5E	Aucune	2	4	5	1	3	Position	Non	0	0	0	0	0	0	0	0	0	0	0		Oui	Football ; Tennis 	Oui	Oui	Masculin	0	0	0	BAC+2 ou +3	Cadres et professions intellectuelles supérieures	Cadres et professions intellectuelles supérieures	Temps complet	20 000 habitants	20 000 habitants	Domicile conjugal	En concubinage	2 enfants	Amateur	1 ans	1 ans	1 site	Emission TV	0	0	Entre amis	0	0	Initiation en live	0	Moins de 5E	Moins de 5E	Moins de 5E	Moins de 5E	Aucune	Aucune	Sur Internet	0	0	0	0	0	0	0	0	0	0	0	0	Internet	0	0	0	0	0	0	Oui	Non	Jeux de grattage (Banco, Astro, etc.)	Jeux de tirage (Loto, EuroMillions, Keno, etc.)	Machines à sous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	En jouant sur Internet	0	0	0	0	0	0	0	0	Texas hold'em	0	0	0	0	Sit & go	Tournoi	Cash game	Argent fictif	Freeroll	Argent réel	Oui	Premier tournoi live	Texas hold'em	0	0	0	0	Tournoi	0	0	Argent réel	0	0	3 fois	3 fois	Moins d'un jour sur deux	Pratique on-line régulière	Pratique online régulière	En semaine et le week-end	Plutôt le soir	0	10 à 99E	10 à 99E	Non	2	2	4	4	5	5	1	1	3	3	La position, le niveau des blinds, la profondeur du stack	0	0	Oui	Sports de balle (football, rugby, basketball, handball, volleyball, etc.)	Sports de raquette (tennis, badmington, tennis de table, squash, golf, etc.)	0	Sports de balle (football, rugby, basketball, handball, volleyball, etc.)	Sports de raquette (tennis, badmington, tennis de table, squash, golf, etc.)	0	Oui	Moins de 10E	Moins de 10E	Entre 0 et 1 ans	0	Moins d'un jour sur deux	Entre 0 et 1 ans
Masculin	1978	Marseille	Marseille	Marié(e), Pacsé(e)	0		Domicile conjugal	2	Temps complet	0		Infomaticien	Bac+4	Amateur	4 ans	Non	0	0	0	0	0	0	0	0	0	0	0	0	0		Amis	0	0	0	0	0	0		Entre amis	0	0	Entre 20 et 50E	Dans une association	0	0	0	0	0	0		En jouant en live	En participant à des forums	En discutant avec des joueurs	0	0	0	0	0	0		Texas hold'em	0	0	0	0	Sit & go	Tournoi	0	Freeroll	Argent réel	0		Texas hold'em	0	0	0	0	Sit & go	Tournoi	0	Freeroll	Argent réel	0	0	0	0	0	Winamax	0	Non	Entre 5 et 10E	Entre 20 et 50E	4	5	3	1	2		Non	0	0	0	0	0	0	0	0	0	0	0		Oui	Footing 	Oui	Oui	Masculin	25 à 34 ans	25 à 34 ans	25 à 34 ans	BAC+4 et plus	Cadres et professions intellectuelles supérieures	Cadres et professions intellectuelles supérieures	Temps complet	100 000 habitants	100 000 habitants	Domicile conjugal	Marié(e), Pacsé(e)	2 enfants	Amateur	4 ans	4 ans	0	Amis	0	0	Entre amis	0	0	Initiation en live	0	Entre 20 et 50E	Entre 20 et 50E	Entre 5 et 10E	Entre 5 et 10E	Entre 20 et 50E	Entre 20 et 50E	Dans une association	0	0	0	0	0	0	Dans une association	0	0	0	0	0	Clubs	0	0	0	0	0	0	Non	Non	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	En jouant en live	En participant à des forums	En discutant avec des joueurs	0	0	0	0	0	0	Texas hold'em	0	0	0	0	Sit & go	Tournoi	0	Freeroll	Argent réel	0	Oui	Premier tournoi live	Texas hold'em	0	0	0	0	Sit & go	Tournoi	0	Freeroll	Argent réel	0	Non réponse	0	0	0	0	0	0	0	Moins de 10E	Moins de 10E	Non	4	4	5	5	3	3	1	1	2	2	0	0	0	Oui	Course à pied (marathon, triathlon, footing, jogging, running, etc.)	0	0	Course à pied (marathon, triathlon, footing, jogging, running, etc.)	0	0	Oui	Moins de 10E	Entre 20 et 50E	Entre 4 et 5 ans	18 à 34 ans	0	Entre 4 et 5 ans
Masculin	1975	Chenôve		Célibataire	0		0	2	Temps complet	0		Gérant	Baccalauréat	Amateur	1 an	Non	0	0	0	0	0	0	0	0	0	0	0	0	0		Collègues de travail	0	0	0	0	0	0		Sur Internet	0	0	Plus de 50E	Sur Internet	0	0	0	0	0	0		En jouant sur Internet	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	 	0	0	Masculin	35 à 44 ans	35 à 44 ans	35 à 44 ans	BAC	Artisans, commerçants et chef d'entreprises	Artisans, commerçants et chef d'entreprises	Temps complet	0	0	0	Célibataire	2 enfants	Amateur	1 ans	1 ans	3 sites	0	0	0	Sur Internet	0	0	Initiation online	0	Plus de 50E	Plus de 50E	Non réponse	0	Non réponse	0	Sur Internet	0	0	0	0	0	0	0	0	0	0	0	0	Internet	0	0	0	0	0	0	Non	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	En jouant sur Internet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non réponse	0	0	0	0	0	0	0	Non réponse	0	0	Non réponse	0	Non réponse	0	Non réponse	0	Non réponse	0	Non réponse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Entre 0 et 1 ans	35 à 44 ans	0	Entre 0 et 1 ans
